Themen,Plattformen/Medien,Methoden
alpha/sigma-male podcasts,15-minuten-podcasts,Podcasts sind zum runterkommen
finzanz podcasts,1h-wissen podcasts,Podcasts sind zur bildung
fußball podcasts,comedy-podcasts,diskussions anreger
geschichtliche podcasts,dikussions-podcasts mit unterschiedlichen meinungen,nebenher medium
interview-podcasts mit gast,doku-serien podcasts,neue ansichten
lifestyle podcsstts,einschlaf - podcasts,neue einblicke bekommen
nachrichten podcasts,investigativ-journalismus,
poilitsche podcasts,,
reality tv podcasts,,
true crime,,
